"CODE","NAME","DATE","mean","median","sd","min","max"
280445,"Nossa Senhora Aparecida","2016-10-31",0.0922,0.088,0.033,0.036,0.304
280450,"Nossa Senhora da Glória","2016-10-31",0.0809,0.076,0.0271,0.032,0.304
280460,"Nossa Senhora das Dores","2016-10-31",0.2239,0.202,0.1134,0.04,0.572
280470,"Nossa Senhora de Lourdes","2016-10-31",0.1063,0.104,0.0277,0.048,0.232
280480,"Nossa Senhora do Socorro","2016-10-31",0.4034,0.432,0.1366,0.024,0.852
280490,"Pacatuba","2016-10-31",0.4114,0.412,0.088,0.116,0.728
280500,"Pedra Mole","2016-10-31",0.1288,0.128,0.0377,0.048,0.232
280510,"Pedrinhas","2016-10-31",0.3665,0.37,0.0363,0.268,0.424
280520,"Pinhão","2016-10-31",0.1178,0.112,0.0498,0.036,0.268
280530,"Pirambu","2016-10-31",0.4491,0.448,0.0849,0.028,0.924
280540,"Poço Redondo","2016-10-31",0.0952,0.08,0.0529,0.016,0.436
280550,"Poço Verde","2016-10-31",0.1204,0.092,0.0694,0.048,0.436
280560,"Porto da Folha","2016-10-31",0.0879,0.08,0.0352,0.016,0.26
280570,"Propriá","2016-10-31",0.2168,0.188,0.092,0.08,0.516
280580,"Riachão do Dantas","2016-10-31",0.3028,0.304,0.1065,0.044,0.66
280590,"Riachuelo","2016-10-31",0.4592,0.456,0.0657,0.276,0.664
280600,"Ribeirópolis","2016-10-31",0.1742,0.166,0.0651,0.052,0.364
280610,"Rosário do Catete","2016-10-31",0.4222,0.426,0.0749,0.22,0.78
280620,"Salgado","2016-10-31",0.4004,0.396,0.0686,0.224,0.772
280630,"Santa Luzia do Itanhy","2016-10-31",0.4923,0.488,0.1254,0.012,0.94
280640,"Santana do São Francisco","2016-10-31",0.3152,0.308,0.0947,0.06,0.544
280650,"Santa Rosa de Lima","2016-10-31",0.4217,0.416,0.0582,0.22,0.62
280660,"Santo Amaro das Brotas","2016-10-31",0.4514,0.456,0.1139,0.092,0.924
280670,"São Cristóvão","2016-10-31",0.449,0.452,0.1109,0.088,0.96
280680,"São Domingos","2016-10-31",0.2584,0.252,0.0644,0.124,0.444
280690,"São Francisco","2016-10-31",0.1394,0.136,0.0297,0.06,0.232
280700,"São Miguel do Aleixo","2016-10-31",0.1216,0.1,0.0645,0.036,0.364
280710,"Simão Dias","2016-10-31",0.1936,0.18,0.0838,0.052,0.584
280720,"Siriri","2016-10-31",0.3641,0.372,0.0719,0.148,0.64
280730,"Telha","2016-10-31",0.1749,0.14,0.0832,0.084,0.42
280740,"Tobias Barreto","2016-10-31",0.2123,0.188,0.111,0.044,0.66
280750,"Tomar do Geru","2016-10-31",0.2466,0.24,0.0763,0.068,0.484
280760,"Umbaúba","2016-10-31",0.4249,0.416,0.0802,0.248,0.824
290010,"Abaíra","2016-10-31",0.3416,0.34,0.0859,0.132,0.644
290020,"Abaré","2016-10-31",0.0817,0.068,0.0644,0.012,0.512
290030,"Acajutiba","2016-10-31",0.312,0.304,0.1048,0.1,0.716
290035,"Adustina","2016-10-31",0.0964,0.084,0.043,0.032,0.276
290040,"Água Fria","2016-10-31",0.2196,0.222,0.0958,0.048,0.616
290050,"Érico Cardoso","2016-10-31",0.3145,0.324,0.088,0.052,0.588
290060,"Aiquara","2016-10-31",0.7163,0.736,0.1141,0,0.976
290070,"Alagoinhas","2016-10-31",0.4642,0.456,0.1264,0,0.856
290080,"Alcobaça","2016-10-31",0.6149,0.58,0.1605,0,0.956
290090,"Almadina","2016-10-31",0.6695,0.716,0.2379,0,1
290100,"Amargosa","2016-10-31",0.5298,0.536,0.1393,0.06,0.936
290110,"Amélia Rodrigues","2016-10-31",0.517,0.512,0.1102,0,0.864
290115,"América Dourada","2016-10-31",0.1576,0.136,0.0804,0.048,0.472
290120,"Anagé","2016-10-31",0.2097,0.164,0.1225,0.02,0.804
290130,"Andaraí","2016-10-31",0.3731,0.358,0.1671,0,0.912
290135,"Andorinha","2016-10-31",0.1282,0.112,0.0594,0.036,0.4
290140,"Angical","2016-10-31",0.477,0.472,0.1179,0.112,0.86
